iter	Passed	Remaining
644	1144	629
645	1145	627
646	1147	626
647	1149	624
648	1150	622
649	1152	620
650	1153	618
651	1155	616
652	1157	614
653	1159	613
654	1160	611
655	1162	609
656	1163	607
657	1164	605
658	1166	603
659	1167	601
660	1169	599
661	1171	597
662	1172	596
663	1174	594
664	1176	592
665	1177	590
666	1179	588
667	1180	586
668	1182	584
669	1183	583
670	1185	581
671	1186	579
672	1188	577
673	1190	575
674	1191	573
675	1193	571
676	1194	570
677	1196	568
678	1198	566
679	1200	564
680	1201	562
681	1203	561
682	1204	559
683	1206	557
684	1207	555
685	1209	553
686	1211	551
687	1213	550
688	1214	548
689	1216	546
690	1218	544
691	1219	542
692	1221	541
693	1222	539
694	1224	537
695	1226	535
696	1228	533
697	1229	532
698	1231	530
699	1234	529
700	1236	527
701	1238	525
702	1242	524
703	1244	523
704	1246	521
705	1248	519
706	1250	518
707	1252	516
708	1254	514
709	1256	513
710	1258	511
711	1260	509
712	1262	508
713	1263	506
714	1265	504
715	1266	502
716	1269	501
717	1271	499
718	1273	497
719	1274	495
720	1276	493
721	1278	492
722	1279	490
723	1281	488
724	1284	487
725	1287	485
726	1289	484
727	1291	482
728	1293	480
729	1295	479
730	1297	477
731	1300	476
732	1302	474
733	1304	472
734	1306	471
735	1309	469
736	1310	467
737	1312	465
738	1314	464
739	1316	462
740	1318	460
741	1319	458
742	1321	457
743	1323	455
744	1324	453
745	1326	451
746	1329	450
747	1330	448
748	1332	446
749	1334	444
750	1335	442
751	1337	441
752	1340	439
753	1343	438
754	1345	436
755	1347	434
756	1349	433
757	1351	431
758	1352	429
759	1354	427
760	1356	426
761	1358	424
762	1359	422
763	1361	420
764	1362	418
765	1364	416
766	1365	414
767	1367	413
768	1368	411
769	1370	409
770	1372	407
771	1374	405
772	1376	404
773	1377	402
774	1379	400
775	1381	398
776	1382	396
777	1384	395
778	1387	393
779	1390	392
780	1392	390
781	1393	388
782	1395	386
783	1398	385
784	1400	383
785	1403	382
786	1405	380
787	1407	378
788	1409	376
789	1411	375
790	1417	374
791	1421	373
792	1423	371
793	1431	371
794	1434	369
795	1436	368
796	1437	366
797	1439	364
798	1441	362
799	1444	361
800	1446	359
801	1447	357
802	1449	355
803	1451	353
804	1453	352
805	1454	350
806	1456	348
807	1458	346
808	1461	344
809	1463	343
810	1464	341
811	1466	339
812	1468	337
813	1470	335
814	1471	334
815	1473	332
816	1475	330
817	1478	328
818	1480	327
819	1482	325
820	1484	323
821	1485	321
822	1488	320
823	1490	318
824	1492	316
825	1494	314
826	1496	313
827	1498	311
828	1500	309
829	1502	307
830	1504	306
831	1506	304
832	1508	302
833	1509	300
834	1511	298
835	1513	296
836	1515	295
837	1518	293
838	1520	291
839	1521	289
840	1523	288
841	1525	286
842	1526	284
843	1528	282
844	1530	280
845	1532	278
846	1534	277
847	1535	275
848	1537	273
849	1539	271
850	1540	269
851	1542	267
852	1544	266
853	1546	264
854	1548	262
855	1550	260
856	1551	258
857	1553	257
858	1555	255
859	1556	253
860	1558	251
861	1561	249
862	1563	248
863	1564	246
864	1566	244
865	1568	242
866	1570	240
867	1572	239
868	1574	237
869	1576	235
870	1578	233
871	1580	232
872	1582	230
873	1584	228
874	1585	226
875	1587	224
876	1589	222
877	1591	221
878	1593	219
879	1594	217
880	1597	215
881	1599	213
882	1600	212
883	1602	210
884	1604	208
885	1605	206
886	1607	204
887	1608	202
888	1610	201
889	1613	199
890	1615	197
891	1616	195
892	1618	193
893	1621	192
894	1623	190
895	1625	188
896	1626	186
897	1629	185
898	1632	183
899	1634	181
900	1635	179
901	1637	177
902	1639	176
903	1642	174
904	1645	172
905	1646	170
906	1648	169
907	1650	167
908	1652	165
909	1653	163
910	1655	161
911	1657	159
912	1659	158
913	1661	156
914	1663	154
915	1665	152
916	1667	150
917	1669	149
918	1672	147
919	1674	145
920	1676	143
921	1678	141
922	1679	140
923	1681	138
924	1684	136
925	1686	134
926	1688	132
927	1689	131
928	1691	129
929	1693	127
930	1694	125
931	1696	123
932	1698	121
933	1700	120
934	1702	118
935	1704	116
936	1706	114
937	1707	112
938	1709	111
939	1711	109
940	1713	107
941	1716	105
942	1718	103
943	1720	102
944	1722	100
945	1724	98
946	1726	96
947	1727	94
948	1729	92
949	1732	91
950	1733	89
951	1735	87
952	1736	85
953	1738	83
954	1740	82
955	1742	80
956	1744	78
957	1746	76
958	1748	74
959	1749	72
960	1751	71
961	1752	69
962	1754	67
963	1756	65
964	1758	63
965	1760	61
966	1762	60
967	1764	58
968	1765	56
969	1767	54
970	1768	52
971	1770	51
972	1772	49
973	1775	47
974	1777	45
975	1779	43
976	1780	41
977	1782	40
978	1783	38
979	1785	36
980	1788	34
981	1790	32
982	1792	30
983	1794	29
984	1795	27
985	1797	25
986	1798	23
987	1800	21
988	1803	20
989	1805	18
990	1807	16
991	1808	14
992	1810	12
993	1812	10
994	1813	9
995	1815	7
996	1818	5
997	1821	3
998	1823	1
999	1826	0
